,file,Taxa,Uptake_Gene,Enz_Gene,Osmo_Gene,Uptake_Cost,Enz_Consti_Cost,Enz_Induci_Cost,Osmo_Consti_Cost,Osmo_Induci_Cost,Drought_tolerance,Avg_Abund
1,grass_grid46819_microbe1014_all.pickle,1,4,3,1,0.0760095119476318,5.90551535424311e-05,6.20493010501377e-05,2.13483701827499e-07,0.0745483264327049,0.717041194438934,5.143741
2,grass_grid46819_microbe1014_all.pickle,2,7,1,1,0.0569225586950779,2.08330966415815e-05,8.91676827450283e-05,2.74299708280523e-07,0.0994395986199379,1,318.54434
3,grass_grid46819_microbe1014_all.pickle,3,12,25,1,0.0734380036592484,9.54203933360986e-05,3.57474855263717e-05,1.07936713789059e-07,0.0763126835227013,0.737098038196564,5534.964
4,grass_grid46819_microbe1014_all.pickle,4,11,1,1,0.0625025108456612,6.65515690343454e-05,8.95540360943414e-05,2.85100497876556e-07,0.0258530788123608,0.163483738899231,597.3628
5,grass_grid46819_microbe1014_all.pickle,5,12,35,1,0.0672648549079895,7.17670991434716e-05,5.93440818192903e-05,9.75158286564692e-07,0.0168408993631601,0.0610351599752903,1916.0388
6,grass_grid46819_microbe1014_all.pickle,6,12,23,1,0.0757441520690918,2.55098220804939e-05,8.29051059554331e-05,8.07212870768126e-07,0.0487916804850101,0.424245029687881,3611.3013
7,grass_grid46819_microbe1014_all.pickle,7,12,25,1,0.097904808819294,4.92711369588505e-05,4.55747940577567e-05,3.2967221841318e-07,0.023972786962986,0.142108976840973,5477.467
8,grass_grid46819_microbe1014_all.pickle,8,12,14,1,0.0818983092904091,1.7961630874197e-05,3.94521521229763e-05,6.26384291990689e-07,0.0431248247623444,0.3598253428936,4390.783
9,grass_grid46819_microbe1014_all.pickle,9,6,2,1,0.0543295703828335,5.52022174815647e-05,7.9210898547899e-05,7.75128626173682e-07,0.084260456264019,0.827446639537811,151.03429
10,grass_grid46819_microbe1014_all.pickle,10,12,25,1,0.0982491001486778,9.68129897955805e-05,7.74868240114301e-05,2.00673909489524e-07,0.0322742126882076,0.236477866768837,6882.67
11,grass_grid46819_microbe1014_all.pickle,11,12,23,1,0.0939468592405319,4.34209323429968e-05,1.68276765180053e-05,8.66273182964505e-07,0.0806158408522606,0.786015450954437,8877.722
12,grass_grid46819_microbe1014_all.pickle,12,12,22,1,0.0507564507424831,3.75552008335944e-05,2.73884888883913e-05,5.55420228920411e-07,0.0882321447134018,0.872595965862274,862.9045
13,grass_grid46819_microbe1014_all.pickle,13,12,26,1,0.0846844837069511,2.80330677924212e-05,4.86475983052514e-05,5.04360912145785e-07,0.0176365859806538,0.0700803622603416,3290.3904
14,grass_grid46819_microbe1014_all.pickle,14,12,11,1,0.0647300779819489,1.14907252282137e-05,2.40272529481445e-05,1.53907819822052e-07,0.0372146666049957,0.292639911174774,911.1021
15,grass_grid46819_microbe1014_all.pickle,15,12,33,1,0.0861057639122009,3.20642102451529e-05,1.32326413222472e-05,4.12506011571168e-07,0.0394270792603493,0.317790150642395,5599.824
16,grass_grid46819_microbe1014_all.pickle,16,12,31,1,0.0797049626708031,4.01389079343062e-05,4.98512708873022e-05,6.7722533003689e-07,0.0627026036381721,0.5823814868927,5601.6597
17,grass_grid46819_microbe1014_all.pickle,17,12,20,1,0.0522178113460541,6.30589347565547e-05,3.29406320815906e-05,7.32956777937943e-07,0.0530691742897034,0.472870647907257,261.09567
